Id,Label,timeset,game_id,game_name,game name,modularity_class,tag_ids,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,triangles,eigencentrality
56401891,Bluddshed,,510150,,Diablo Immortal,5,[6ea6bca4-4712-4ab9-a906-e3336a9d8039],57,39443,2,0.952381,0.975,6.083077,0.882206,1408,0.996649
96726033,TwiggleSoft,,499859,,Spelunky 2,5,"[6ea6bca4-4712-4ab9-a906-e3336a9d8039, 81df4005-f654-40b2-9fc0-9fd767bc8e3e, 7cefbf30-4c3e-4aa7-99cd-70aabb662f27]",50,3306,2,0.857143,0.916667,2.355984,0.931429,1141,0.897648
25828190,mantistobagan,,32982,,Grand Theft Auto V,1,[6ea6bca4-4712-4ab9-a906-e3336a9d8039],57,16687,2,0.952381,0.975,6.083077,0.882206,1408,0.996649
74657307,imPROBZZ,,491487,,Dead by Daylight,5,"[6ea6bca4-4712-4ab9-a906-e3336a9d8039, 1eba3cfe-51cc-460a-8259-bc8bb987f904]",47,545,2,0.821918,0.891667,2.284407,0.933395,1009,0.845437
38646632,Chanimaly,,18122,,World of Warcraft,0,[6ea6bca4-4712-4ab9-a906-e3336a9d8039],51,10831,2,0.869565,0.925,1.786006,0.948235,1209,0.923122
489298323,IndoAngel,,493551,,Conan Exiles,3,[6ea6bca4-4712-4ab9-a906-e3336a9d8039],27,312,2,0.645161,0.725,0.180066,0.980057,344,0.498422
27446517,Monstercat,,26936,,Music,2,[6ea6bca4-4712-4ab9-a906-e3336a9d8039],58,172513,2,0.967742,0.983333,13.464029,0.855414,1414,0.999392
105918024,RetrogradeTom,,27284,,Retro,5,"[e027fb8b-219e-4959-8240-a4a082be0316, cc8d5abb-39c9-4942-a1ee-e1558512119e, d0976a7e-26a7-4a48-9225-c522808540f2, 8ba227ca-073c-46a7-b3cc-193e52c5ab4d, 6ea6bca4-4712-4ab9-a906-e3336a9d8039]",49,5533,2,0.84507,0.908333,1.194706,0.961735,1131,0.893428
403094949,Jaydvn,,518023,,NBA 2K21,3,[6ea6bca4-4712-4ab9-a906-e3336a9d8039],51,2050,2,0.869565,0.925,27.823369,0.897255,1144,0.899657
45887494,Westham,,459931,,Old School RuneScape,0,[6ea6bca4-4712-4ab9-a906-e3336a9d8039],44,5649,2,0.789474,0.866667,0.547605,0.977801,925,0.811185
